"id","value","fips","lat","lon","state","county","city","CMAQ","zcta","zcta_area","zcta_pop","imp_a500","imp_a1000","imp_a5000","imp_a10000","imp_a15000","county_area","county_pop","log_dist_to_prisec","log_pri_length_5000","log_pri_length_10000","log_pri_length_15000","log_pri_length_25000","log_prisec_length_500","log_prisec_length_1000","log_prisec_length_5000","log_prisec_length_10000","log_prisec_length_15000","log_prisec_length_25000","log_nei_2008_pm25_sum_10000","log_nei_2008_pm25_sum_15000","log_nei_2008_pm25_sum_25000","log_nei_2008_pm10_sum_10000","log_nei_2008_pm10_sum_15000","log_nei_2008_pm10_sum_25000","popdens_county","popdens_zcta","nohs","somehs","hs","somecollege","associate","bachelor","grad","pov","hs_orless","urc2013","urc2006","aod"
35025.0008,6.211214953,35025,32.726656,-103.122917,"New Mexico","Lea","Hobbs",5.869165056,88242,143281405,6141,0.101211073,0.181228374,3.34899868,4.631142653,2.597710204,11372460346,64727,8.025370508,8.517193191,9.210340372,9.61580548,10.1266311,6.214608098,7.60090246,10.71175204,11.82071418,12.2237472,12.91691312,0.215433908,0.372609282,3.900212848,0.215433908,0.842504552,4.083453026,5.691556447,42.85971372,8.6,8.1,30.8,21.7,14.4,14.2,2.2,6.6,47.5,5,5,15.41666667
39009.0003,10.742,39009,39.442165,-81.908827,"Ohio","Athens","Not in a city",7.971164931,45711,132383592,1115,0,0.172361592,0.209478673,0.289783334,0.330797549,1304313482,64757,6.344680656,8.517193191,9.210340372,9.61580548,10.1266311,6.214608098,8.793450199,10.56238195,11.69092919,12.34638943,13.58697227,0,0,3.760344392,0,0,3.765634679,49.6483406,8.42249393,4.8,11.5,47.3,20,3.1,9.8,3.5,14.4,63.6,5,5,33.36363636
42133.0008,13.40236686,42133,39.965278,-76.699444,"Pennsylvania","York","York",10.06611571,17403,52958231,39042,33.3650519,31.04022491,24.02216523,13.42528981,8.192214291,2341819225,434972,5.987618666,10.36215,10.77171738,11.05124315,11.53006387,7.427104332,9.169983127,11.93228108,12.77700513,13.38169523,14.14431763,4.656941061,5.298587899,8.735032841,5.219574715,5.795919844,8.805447031,185.7410663,737.2225103,10.8,18.8,47,9.8,4.9,7.1,1.7,38.1,76.6,3,3,49.55555556
4013.0019,10.49261745,4013,33.48385,-112.14257,"Arizona","Maricopa","Phoenix",12.21353043,85019,9712436,25042,42.69982699,47.86764706,46.96630799,42.57106226,36.46626833,23828260196,3817117,7.134575062,11.18722794,12.04158401,12.48767702,12.95395439,6.214608098,7.60090246,11.52403981,12.57109204,13.21370147,13.98698967,1.679262359,4.157284985,4.262179249,1.761445434,4.277644933,4.760137665,160.1928537,2578.343888,23.9,17.4,27.3,20.8,4.3,4.2,2,29.5,68.6,1,1,46.33333333
6099.0005,17.17716535,6099,37.641583,-120.994622,"California","Stanislaus","Modesto",8.64579683,95354,19012000,25394,43.40570934,38.40614187,40.67332549,22.33211998,12.17847182,3871582888,514453,5.899462193,8.517193191,9.210340372,9.61580548,10.12985787,7.25977212,8.786048114,10.96809479,11.78351424,12.16333935,12.97958441,4.786949032,5.015800755,5.589445538,5.064282008,5.403046403,6.020783277,132.8792421,1335.682727,28,15.8,27.4,19.1,3.3,4.5,1.8,29,71.2,3,3,60.9
19045.0019,12.15648415,19045,41.823283,-90.211982,"Iowa","Clinton","Clinton",8.476871228,52732,287014236,28293,0,0.403114187,10.54217978,4.960324813,2.87462654,1799821282,49116,7.393982266,8.517193191,9.210340372,9.61580548,12.14474762,6.214608098,7.60090246,11.10994206,12.00213105,12.3596452,13.32825033,6.599603917,6.607649838,6.619084478,7.022428553,7.028295832,7.048904641,27.28937617,98.57699184,4.3,8.1,38.2,22.7,11.4,11.2,4.1,10.1,50.6,5,5,48.55555556
18089.0022,12.51,18089,41.60668,-87.304729,"Indiana","Lake","Gary",16.90920694,46402,9847717,6726,38.3183391,36.75963262,24.96926404,16.7552162,17.17476401,1292303671,496005,2.72812855,10.9060232,11.67564977,12.09116746,12.7126901,8.65311623,9.530445711,11.56291358,12.48690079,13.11815992,13.92529086,8.116790378,9.422062181,9.580040612,8.204021336,9.708643644,9.851540263,383.8145872,683.0009433,6.1,12.9,41.4,25.6,5.2,6.1,2.8,40.6,60.4,2,2,26.28571429
6037.2005,12.84067797,6037,34.1326,-118.1272,"California","Los Angeles","Pasadena",9.689227582,91106,7643112,24229,33.22923875,29.66629834,31.6130374,30.96496172,30.83663653,10509869649,9818605,7.455630584,10.83858583,12.34952574,13.32376527,14.02434453,6.214608098,7.60090246,11.13555517,12.61415964,13.69547221,14.47559209,3.69579024,4.610465638,7.044026465,3.888254361,5.064606669,7.482617846,934.2270959,3170.043825,5.3,4.5,12.9,21.1,6.1,25.9,24.3,8.5,22.7,1,1,38.09090909
9001.3005,11.79459459,9001,41.1125,-73.407222,"Connecticut","Fairfield","Norwalk",7.666388153,6851,19762489,26703,42.37716263,43.01254325,22.81087048,12.24803481,9.626269565,1618456437,916829,6.322180271,10.91243275,11.67939518,12.08486912,12.86645079,6.214608098,9.302147007,11.79971929,12.84709264,13.34519143,14.14670711,2.968731962,3.140749453,6.639993793,2.983284959,3.154584056,6.752719342,566.4835822,1351.196198,0,0,100,0,0,0,0,8.2,100,3,3,35.22222222
51036.0002,10.51833333,51036,37.34438,-77.25925,"Virginia","Charles","Not in a city",9.46184914,23836,65582986,11444,0.030276817,0.638762511,9.810848504,5.453839034,5.504259597,1096334108,316236,6.648095589,9.947935692,11.32011165,12.16265504,12.9899518,6.214608098,8.639326512,11.37576074,12.70082703,13.4752488,14.34089205,6.386509303,7.144798313,7.316493543,6.711757862,7.743543556,7.863100741,288.4485648,174.4964769,6.4,17.9,38.8,21.8,3.9,7.1,4.1,10.6,63.1,2,2,46.5
28033.0002,11.62118644,28033,34.82166,-89.98783,"Mississippi","DeSoto","Hernando",11.81148541,38632,439567113,24377,20.71799308,16.28222318,4.126788339,1.802461785,1.859744643,1233210616,161252,4.603518585,10.12680894,11.10381548,11.52367641,12.05233102,7.801451366,8.693088894,11.09691959,11.99170722,12.57519156,13.69495917,2.077391528,2.077391528,5.134915756,2.096994822,2.096994822,5.138759801,130.7578753,55.45683305,3.5,7.1,29.4,28.2,8,15.8,7.9,6.5,40,2,2,42.83333333
20091.0007,9.38490566,20091,38.974457,-94.687013,"Kansas","Johnson","Overland Park",9.717684427,66212,19894176,32096,25.14705882,23.82720588,30.02111653,28.59619933,26.54004068,1226034453,544179,6.962099652,11.37741231,12.51746123,13.14040134,13.87437561,6.214608098,7.60090246,11.74244796,12.77795152,13.46476753,14.42719942,3.810649819,4.719819295,6.988076052,4.543706552,5.304264531,7.396577965,443.8529429,1613.336486,1.5,3.6,23.6,22.1,8.6,26.4,14.2,10.7,28.7,2,2,49
6071.8001,9.224137931,6071,34.264444,-116.864444,"California","San Bernardino","Big Bear City",7.074141258,92314,79825161,10162,17.23096886,11.18771626,6.038036692,2.869030056,1.62473598,51947229509,2035210,5.248220229,8.517193191,9.21580475,9.619451714,10.12882044,7.991691846,9.375957434,10.91872859,11.5784105,12.00315805,12.62848189,0.383741934,6.486368632,6.491135831,1.127965661,6.851498004,6.858316583,39.17841277,127.3032196,2.1,6.7,26.5,28.8,9.7,18,8.2,11.6,35.3,2,2,13
13319.0001,12.80348837,13319,32.881829,-83.333775,"Georgia","Wilkinson","Gordon",10.58292523,31031,345075555,6576,0.566608997,0.467344291,1.416705511,0.714079761,0.69414695,1158522024,9563,7.099992297,8.517193191,9.210340372,9.61580548,11.40420681,6.214608098,7.60090246,10.68605856,11.57968415,12.30794943,13.6011126,0,0.806475866,0.90032803,1.609437912,2.63905733,2.753371504,8.254482696,19.05669615,7.3,8.6,43.3,19.2,8.7,9.1,3.9,8.1,59.2,6,6,34.83333333
5001.0011,11.24970414,5001,34.518515,-91.55896,"Arkansas","Arkansas","Stuttgart",10.74727538,72160,870327339,10736,0.077854671,0.041738754,2.210376508,1.695919811,0.959554219,1678203880,8715,7.562634925,8.517193191,9.210340372,9.61580548,10.1266311,6.214608098,7.60090246,10.42083549,11.23094834,11.66600713,12.22026248,4.459412758,4.459412758,4.464942181,5.171147507,5.171147507,5.191864575,5.193051991,12.3355886,5.4,13.1,41.7,21.3,5.9,8.1,4.5,15.3,60.2,6,6,63.125
21227.0008,12.45088757,21227,37.035438,-86.250628,"Kentucky","Warren","Oakland",9.55878605,42159,73210472,1195,2.008650519,1.322880623,0.670883931,1.072125843,1.110784991,1402737981,113792,5.752732161,10.15793274,10.84684305,11.2823568,11.79882476,7.548028729,8.678164675,11.20130893,12.55714937,13.21945817,14.16234555,4.290173279,5.21394461,5.896508573,4.46909196,5.340920585,6.120863357,81.12135092,16.32280147,7.7,6,32.3,16.8,7.1,24.6,5.5,7.2,46,4,4,28.41666667
34001.0006,10.23092784,34001,39.464872,-74.448736,"New Jersey","Atlantic","Galloway (Township of)",8.857962119,8205,109829121,28626,0,0.205017301,2.753358499,5.671781884,6.420838482,1439267859,274549,7.396768176,8.517193191,9.210340372,9.622712858,10.17054919,6.214608098,7.60090246,10.10299758,12.08683329,12.57150878,13.19455886,2.256290693,3.195499898,5.118378279,2.499426615,3.674255034,5.303843932,190.7560141,260.6412556,4.1,6.4,34.1,20.9,7.2,19.5,7.7,4.5,44.6,3,3,92.5
